"id_student","code_module","code_presentation","gender","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","module_presentation_length","date_registration","Exam_score","TMA_score","CMA_score","click_before_course","click_Q1","click_Q2","click_Q3","click_Q4","homepage","quiz","page","oucontent ","subpage","resource","oucollaborate","url","glossary","externalquiz","ouwiki","questionnaire","dataplus","final_result"
130547,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-25,0,58.4,0,242,371,177,151,311,162,0,0,832,88,15,0,30,1,0,0,0,14,"Pass"
130636,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","0-35",0,60,"N",269,-68,0,60,0,112,48,68,58,46,49,0,0,189,43,15,0,6,0,0,0,0,0,"Pass"
131390,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-115,0,78.6,0,89,56,0,7,5,36,0,0,73,7,7,0,0,0,0,0,0,0,"Pass"
1336190,"Social Science","2014J","M","HE Qualification","High(60-100%)","55<=",0,60,"N",269,-23,0,0,0,102,516,175,133,95,235,0,0,576,110,11,0,47,0,0,0,0,10,"Pass"
133816,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-15,0,65.4,0,162,1122,831,1017,868,780,0,0,1381,162,9,1,94,0,0,0,0,3,"Pass"
133922,"Social Science","2014J","M","Lower Than A Level","Low(0-30%)","0-35",0,60,"N",269,-110,0,78.2,0,64,218,51,92,149,144,0,0,290,55,11,0,18,0,0,0,0,0,"Pass"
1352868,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","35-55",1,60,"N",269,-63,0,69.8,0,27,285,153,265,361,208,0,0,588,50,11,0,2,0,0,0,0,3,"Pass"
135335,"Social Science","2014J","F","Lower Than A Level","Low(0-30%)","0-35",1,120,"N",269,-29,0,0,0,4,12,0,0,0,8,0,0,7,1,0,0,0,0,0,0,0,0,"Withdrawn"
135400,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","35-55",1,60,"Y",269,-32,0,49.8,0,54,47,127,44,51,45,0,0,227,29,2,0,16,0,0,0,0,0,"Pass"
135471,"Social Science","2014J","M","Lower Than A Level","High(60-100%)","35-55",0,60,"N",269,-149,0,84,0,342,690,350,556,353,435,0,0,1525,112,26,0,61,1,0,0,0,9,"Distinction"
139033,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-46,0,61,0,33,113,213,249,182,203,0,0,413,53,8,2,6,0,0,0,0,0,"Fail"
1398979,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","55<=",0,60,"N",269,-72,0,72.75,0,610,2360,844,1001,256,869,0,0,778,69,90,0,15,3,0,0,0,19,"Withdrawn"
141377,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","0-35",1,210,"N",269,-110,0,49.6,0,1,246,2,251,113,111,0,0,272,54,13,0,3,0,0,0,0,0,"Pass"
141506,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","35-55",0,60,"N",269,-28,0,75,0,131,241,40,3,0,97,0,0,99,39,8,0,7,12,0,0,0,0,"Fail"
1456619,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",1,60,"N",269,-87,0,63,0,111,593,2,0,0,102,0,0,463,47,14,0,10,4,0,0,0,0,"Withdrawn"
146503,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,120,"Y",269,-30,0,63.4,0,39,205,40,36,48,108,0,0,128,70,13,0,5,1,0,0,0,0,"Pass"
1469279,"Social Science","2014J","F","HE Qualification","Middle(30-60%)","35-55",0,120,"N",269,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Withdrawn"
1471214,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-32,0,71,0,0,450,135,284,292,89,0,0,777,57,6,0,24,0,0,0,0,5,"Pass"
1472925,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",1,60,"Y",269,20,0,62.2,0,0,308,12,113,90,102,0,0,243,60,10,0,22,0,0,0,0,0,"Pass"
147756,"Social Science","2014J","M","Lower Than A Level","High(60-100%)","0-35",1,120,"N",269,-92,0,64.6,0,51,212,267,152,425,188,0,0,662,61,24,0,0,48,0,0,0,1,"Pass"
1484804,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-88,0,65.8,0,75,183,264,297,635,540,0,0,721,128,21,0,19,0,0,0,0,0,"Pass"
148993,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",1,60,"Y",269,-154,0,84,0,91,400,271,387,799,475,0,0,269,42,17,0,12,0,0,0,0,0,"Pass"
149741,"Social Science","2014J","F","A Level or Equivalent","Low(0-30%)","35-55",0,60,"N",269,-74,0,66.4,0,568,739,423,299,313,398,0,0,1132,128,27,5,68,6,0,0,0,14,"Pass"
149962,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-92,0,68.4,0,3,105,22,7,4,21,0,0,54,10,1,0,1,0,0,0,0,0,"Pass"
1511033,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-67,0,74.6,0,59,31,197,234,158,167,0,0,310,117,10,0,72,0,0,0,0,3,"Pass"
151587,"Social Science","2014J","F","A Level or Equivalent","Low(0-30%)","0-35",0,120,"N",269,-129,0,67,0,32,98,15,10,11,64,0,0,71,14,4,1,0,0,0,0,0,0,"Withdrawn"
152668,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","0-35",0,60,"N",269,-72,0,71,0,164,561,40,0,0,164,0,0,396,63,7,0,38,0,0,0,0,0,"Withdrawn"
155984,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","0-35",1,120,"N",269,-64,0,77.4,0,44,485,278,481,449,428,0,0,862,121,8,0,79,0,0,0,0,9,"Pass"
1576513,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-84,0,86.6,0,1768,4284,2712,3653,3299,4338,0,0,2533,402,213,1,316,0,0,0,0,34,"Distinction"
158707,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-57,0,74,0,646,2452,1077,571,0,990,0,0,1258,198,16,0,95,3,0,0,0,3,"Withdrawn"
159954,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",1,60,"N",269,-24,0,69.3333333333333,0,78,125,225,347,102,196,0,0,506,60,32,0,8,1,0,0,0,0,"Withdrawn"
1609002,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-109,0,79.4,0,117,398,164,190,156,303,0,0,546,59,23,3,29,0,0,0,0,3,"Pass"
1629771,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-115,0,80.2,0,21,308,58,77,58,143,0,0,215,43,10,0,15,1,0,0,0,1,"Distinction"
164944,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"Y",269,-148,0,62.4,0,45,587,245,204,219,277,0,0,204,86,13,0,29,1,0,0,0,0,"Pass"
165226,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"N",269,-22,0,77,0,419,630,13,0,0,199,0,0,607,75,11,2,26,0,0,0,0,0,"Fail"
1676594,"Social Science","2014J","M","HE Qualification","High(60-100%)","55<=",0,60,"N",269,-73,0,0,0,77,100,0,0,0,32,0,0,105,15,10,0,0,0,0,0,0,0,"Withdrawn"
167961,"Social Science","2014J","M","HE Qualification","High(60-100%)","55<=",0,60,"N",269,-44,0,76,0,148,826,524,278,353,432,0,0,1194,127,15,9,101,5,0,0,0,3,"Pass"
1686551,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-99,0,80,0,166,475,6,0,0,169,0,0,260,58,17,3,27,0,0,0,0,0,"Withdrawn"
1689639,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","35-55",0,60,"N",269,-154,0,70.5,0,355,1280,247,0,0,391,0,0,478,103,8,0,51,9,0,0,0,0,"Withdrawn"
1715896,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-42,0,78,0,721,2008,942,917,726,1271,0,0,870,103,29,5,36,2,0,0,0,11,"Pass"
1721270,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,90,"N",269,-136,0,58,0,14,398,162,89,67,87,0,0,506,29,33,0,9,0,0,0,0,0,"Pass"
174024,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","35-55",0,60,"N",269,-85,0,60.4,0,85,255,145,273,54,110,0,0,647,35,8,0,7,0,0,0,0,3,"Pass"
174094,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,60,"Y",269,-89,0,75.4,0,603,925,679,947,1687,971,0,0,3352,210,28,1,193,0,0,0,0,1,"Pass"
174745,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-30,0,65,0,111,493,409,372,225,199,0,0,1077,80,11,0,4,1,0,0,0,0,"Pass"
175447,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-115,0,69.6,0,508,1131,606,697,837,616,0,0,1590,105,16,0,39,1,0,0,0,1,"Pass"
175772,"Social Science","2014J","F","HE Qualification","High(60-100%)","35-55",0,270,"N",269,-45,0,85,0,1407,1594,17,0,0,602,0,0,833,87,12,0,22,1,0,0,0,0,"Withdrawn"
1757766,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-150,0,70.4,0,148,995,508,783,867,524,0,0,2234,192,29,0,115,0,0,0,0,7,"Pass"
1773377,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-37,0,74.6,0,184,216,139,68,104,154,0,0,407,66,13,0,49,0,0,0,0,0,"Pass"
1799111,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-94,0,77.4,0,84,531,159,284,116,294,0,0,573,76,5,0,12,0,0,0,0,0,"Pass"
1818673,"Social Science","2014J","F","HE Qualification","Low(0-30%)","35-55",0,120,"N",269,-44,0,86,0,34,302,0,0,0,77,0,0,162,36,5,0,5,0,0,0,0,0,"Fail"
183057,"Social Science","2014J","M","Lower Than A Level","High(60-100%)","0-35",0,60,"N",269,-23,0,65.6,0,210,378,41,39,165,284,0,0,249,69,24,0,10,1,0,0,0,1,"Pass"
1839386,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-67,0,40,0,2,205,0,0,0,46,0,0,85,13,1,0,2,0,0,0,0,0,"Withdrawn"
185350,"Social Science","2014J","M","Lower Than A Level","Low(0-30%)","35-55",0,60,"N",269,-22,0,59.6,0,76,93,40,10,17,51,0,0,121,33,4,0,0,0,0,0,0,0,"Fail"
188278,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",1,60,"N",269,-64,0,70.8,0,91,1352,529,556,535,768,0,0,1262,247,11,2,159,0,0,0,0,7,"Pass"
1926668,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-155,0,62.2,0,71,1068,302,402,251,262,0,0,1469,152,46,0,82,0,0,0,0,25,"Pass"
1947156,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-109,0,76.2,0,166,926,259,240,483,452,0,0,780,108,10,10,79,0,0,0,0,8,"Pass"
1967783,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"Y",269,-129,0,65,0,217,722,468,535,229,327,0,0,1098,71,21,0,11,0,0,0,0,10,"Pass"
1970390,"Social Science","2014J","M","Lower Than A Level","Low(0-30%)","35-55",1,120,"N",269,-119,0,83.6,0,88,640,554,449,1889,869,0,0,998,62,30,0,14,0,0,0,0,3,"Pass"
1975209,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-74,0,64,0,333,631,766,674,350,657,0,0,1530,193,43,0,77,16,0,0,0,0,"Pass"
199636,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-30,0,75.8,0,77,603,324,310,522,350,0,0,1159,111,38,0,53,0,0,0,0,2,"Pass"
199897,"Social Science","2014J","M","HE Qualification","Low(0-30%)","35-55",0,60,"N",269,3,0,69.4,0,0,800,405,391,539,442,0,0,1262,153,33,2,76,0,0,0,0,1,"Pass"
200804,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-80,0,66,0,22,307,202,207,192,103,0,0,601,40,14,2,7,0,0,0,0,0,"Pass"
2010232,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-7,0,84.2,0,96,2308,544,556,623,1055,0,0,1083,141,49,4,10,12,0,0,0,9,"Pass"
2045084,"Social Science","2014J","M","HE Qualification","Middle(30-60%)","35-55",0,120,"N",269,-52,0,72,0,76,246,0,4,0,71,0,0,135,31,51,0,7,0,0,0,0,0,"Fail"
205494,"Social Science","2014J","M","HE Qualification","Middle(30-60%)","35-55",0,60,"N",269,-45,0,66.4,0,289,135,327,325,38,156,0,0,804,53,6,0,31,0,0,0,0,0,"Pass"
2057803,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-53,0,66,0,557,1602,547,441,271,656,0,0,344,52,14,0,24,0,0,0,0,0,"Pass"
2073016,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",1,60,"N",269,-65,0,57.75,0,12,1,0,7,153,36,0,0,82,20,4,0,5,0,0,0,0,0,"Fail"
2085209,"Social Science","2014J","F","HE Qualification","Middle(30-60%)","35-55",0,60,"N",269,-59,0,86.8,0,492,1810,1224,1568,2333,1639,0,0,2752,274,56,3,198,0,0,0,0,15,"Pass"
2086400,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-79,0,69.2,0,178,1154,684,851,634,922,0,0,1363,214,28,0,160,0,0,0,0,8,"Pass"
2139353,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",1,60,"N",269,-79,0,66.8,0,7,129,186,420,384,103,0,0,803,89,11,0,79,0,0,0,0,5,"Pass"
2148681,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,90,"N",269,-102,0,72,0,263,888,463,246,486,385,0,0,1023,95,56,1,56,0,0,0,0,9,"Pass"
2158048,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-8,0,86,0,243,608,0,0,0,146,0,0,476,44,16,0,18,0,0,0,0,6,"Withdrawn"
2158196,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,120,"N",269,-115,0,58,0,78,466,0,0,0,107,0,0,142,42,17,0,27,4,0,0,0,2,"Withdrawn"
2165164,"Social Science","2014J","F","Lower Than A Level","Low(0-30%)","0-35",0,60,"N",269,-86,0,63.2,0,179,436,191,308,507,357,0,0,765,82,10,7,39,0,0,0,0,5,"Pass"
2168833,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-53,0,24,0,0,20,0,0,0,4,0,0,14,2,0,0,0,0,0,0,0,0,"Withdrawn"
2207874,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","0-35",0,120,"N",269,-108,0,54.6666666666667,0,0,164,42,59,0,48,0,0,68,31,5,0,4,0,0,0,0,0,"Fail"
2240349,"Social Science","2014J","M","Lower Than A Level","Low(0-30%)","35-55",0,60,"N",269,-108,0,76.8,0,363,1548,244,301,653,656,0,0,1384,310,44,2,107,1,0,0,0,2,"Pass"
2244332,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","35-55",0,60,"N",269,-51,0,85.2,0,1024,3971,2630,2647,3607,4392,0,0,2590,153,17,2,86,0,0,0,0,39,"Distinction"
2273119,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"N",269,-44,0,38.3333333333333,0,20,85,0,0,0,11,0,0,47,30,5,0,3,0,0,0,0,0,"Withdrawn"
2277857,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-119,0,65.4,0,461,1039,473,413,286,436,0,0,1574,95,15,2,59,4,0,0,0,6,"Pass"
228021,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-68,0,83,0,247,1467,444,1171,699,1065,0,0,1829,171,39,2,38,0,0,0,0,24,"Distinction"
228383,"Social Science","2014J","M","HE Qualification","Middle(30-60%)","0-35",0,60,"N",269,-21,0,70.6,0,63,907,413,664,339,419,0,0,1642,176,20,1,76,0,0,0,0,8,"Pass"
2297896,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-59,0,62.6,0,97,147,131,148,43,115,0,0,328,61,13,0,18,0,0,0,0,0,"Pass"
2313257,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,360,"N",269,-101,0,0,0,28,0,0,0,0,5,0,0,13,2,0,0,0,0,0,0,0,0,"Withdrawn"
2318055,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",1,60,"N",269,-53,0,75.8,0,264,421,141,300,600,212,0,0,946,76,13,1,7,0,0,0,0,0,"Pass"
232307,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-107,0,66.2,0,53,398,43,84,124,129,0,0,381,57,19,0,5,1,0,0,0,7,"Pass"
2330254,"Social Science","2014J","M","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-153,0,69.8,0,569,963,567,396,372,779,0,0,837,71,8,0,28,0,0,0,0,0,"Pass"
235068,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-156,0,59.6,0,281,1051,426,613,440,757,0,0,1438,196,9,1,141,0,0,0,0,9,"Pass"
235507,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","0-35",1,180,"N",269,-79,0,56.4,0,127,312,178,162,288,282,0,0,470,78,33,1,10,1,0,0,0,11,"Pass"
2355470,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","35-55",0,120,"N",269,-115,0,54.4,0,13,33,45,29,96,62,0,0,122,21,4,0,1,0,0,0,0,0,"Pass"
2358969,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",1,60,"N",269,-46,0,69.2,0,49,347,457,410,470,487,0,0,749,78,19,0,10,3,0,0,0,3,"Pass"
2363863,"Social Science","2014J","F","A Level or Equivalent","Low(0-30%)","0-35",0,60,"N",269,-155,0,80.6,0,78,1080,772,999,1552,1241,0,0,1866,256,64,2,124,0,0,0,0,10,"Distinction"
2365101,"Social Science","2014J","M","HE Qualification","Low(0-30%)","0-35",1,240,"N",269,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Withdrawn"
236875,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"N",269,-20,0,46.4,0,18,73,22,41,47,42,0,0,119,32,2,0,0,0,0,0,0,0,"Pass"
2369415,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-64,0,78.5,0,238,196,153,49,93,173,0,0,458,67,14,0,1,0,0,0,0,0,"Pass"
237274,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","0-35",0,60,"N",269,-155,0,72.4,0,140,670,428,466,321,401,0,0,965,101,34,4,7,0,0,0,0,13,"Pass"
2375975,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"Y",269,-53,0,71.4,0,731,1384,594,1000,589,782,0,0,1376,126,69,0,4,4,0,0,0,19,"Pass"
2397661,"Social Science","2014J","F","Lower Than A Level","Low(0-30%)","35-55",0,60,"N",269,-29,0,48.4,0,52,354,126,333,792,257,0,0,809,62,48,0,21,0,0,0,0,15,"Pass"
2398313,"Social Science","2014J","M","Lower Than A Level","High(60-100%)","35-55",0,60,"N",269,-42,0,71.4,0,689,969,544,731,286,789,0,0,1503,52,18,0,13,2,0,0,0,8,"Pass"
2404408,"Social Science","2014J","F","Lower Than A Level","Middle(30-60%)","35-55",0,60,"N",269,-17,0,52.5,0,124,445,233,0,0,130,0,0,269,44,7,0,9,0,0,0,0,0,"Fail"
2425993,"Social Science","2014J","M","HE Qualification","Middle(30-60%)","0-35",0,60,"N",269,-16,0,68.6,0,16,276,91,35,319,95,0,0,587,27,15,0,2,0,0,0,0,0,"Pass"
2429854,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","35-55",1,60,"Y",269,-37,0,0,0,171,109,18,0,0,62,0,0,168,29,0,0,0,0,0,0,0,0,"Fail"
2432796,"Social Science","2014J","F","HE Qualification","High(60-100%)","35-55",0,60,"N",269,-59,0,63.4,0,45,506,150,127,135,179,0,0,561,68,11,0,26,0,0,0,0,2,"Pass"
2434159,"Social Science","2014J","M","A Level or Equivalent","Low(0-30%)","0-35",0,60,"N",269,-31,0,54,0,32,47,32,18,43,58,0,0,83,9,5,0,1,0,0,0,0,0,"Pass"
243510,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","0-35",0,60,"N",269,-16,0,43.6,0,45,165,147,71,121,140,0,0,212,41,6,0,13,0,0,0,0,0,"Fail"
2436812,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-51,0,43,0,41,247,210,68,11,130,0,0,251,60,28,0,16,0,0,0,0,0,"Fail"
244246,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,60,"N",269,-137,0,67.2,0,303,205,247,298,312,304,0,0,779,95,14,3,56,0,0,0,0,0,"Pass"
2467267,"Social Science","2014J","M","HE Qualification","Low(0-30%)","0-35",0,60,"N",269,-59,0,71.4,0,0,57,19,11,3,29,0,0,31,19,7,0,1,0,0,0,0,0,"Pass"
2470694,"Social Science","2014J","F","HE Qualification","Middle(30-60%)","55<=",1,60,"N",269,-115,0,67,0,180,290,206,121,142,230,0,0,136,38,52,0,2,2,0,0,0,0,"Fail"
24734,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","0-35",0,60,"N",269,-18,0,46.8,0,30,111,91,59,208,138,0,0,161,27,5,1,9,0,0,0,0,0,"Pass"
2473538,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-146,0,55,0,201,459,266,369,178,263,0,0,617,87,61,5,14,17,0,0,0,11,"Pass"
2474849,"Social Science","2014J","F","A Level or Equivalent","Low(0-30%)","35-55",1,60,"N",269,-73,0,35,0,0,142,0,0,0,25,0,0,93,13,3,0,0,1,0,0,0,0,"Withdrawn"
248581,"Social Science","2014J","F","A Level or Equivalent","Middle(30-60%)","0-35",0,60,"N",269,-61,0,85,0,184,977,430,571,721,570,0,0,1913,78,36,1,10,0,0,0,0,3,"Distinction"
2494700,"Social Science","2014J","M","HE Qualification","High(60-100%)","0-35",0,60,"N",269,-56,0,83.6,0,180,1374,730,743,500,760,0,0,1519,193,15,4,171,0,0,0,0,9,"Pass"
2500258,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","0-35",0,120,"N",269,-102,0,71.2,0,139,507,466,679,612,365,0,0,1348,36,26,0,2,0,0,0,0,20,"Pass"
2507842,"Social Science","2014J","F","A Level or Equivalent","High(60-100%)","35-55",0,60,"N",269,-128,0,79,0,308,896,0,0,0,206,0,0,660,97,5,1,27,0,0,0,0,0,"Withdrawn"
2509639,"Social Science","2014J","M","A Level or Equivalent","High(60-100%)","0-35",0,90,"N",269,-87,0,66,0,55,543,68,46,515,164,0,0,826,93,32,2,30,0,0,0,0,1,"Pass"
2514368,"Social Science","2014J","M","A Level or Equivalent","Middle(30-60%)","35-55",0,60,"N",269,-23,0,82.6,0,91,137,60,41,48,67,0,0,229,47,7,0,11,3,0,0,0,2,"Distinction"
2514898,"Social Science","2014J","F","Lower Than A Level","High(60-100%)","35-55",0,60,"N",269,-128,0,66.4,0,301,637,245,347,298,302,0,0,896,118,119,2,47,3,0,0,0,32,"Pass"
